match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,winner_01,team_winp_last14,team_avg_bowling_last15,team_avg_balls_faced_last15,team_count_4runs_last15,team_count_6runs_last15,team_avg_strike_rate_last15,team_avg_runs_last15,team_runs_consistency_last15,team_rating,team_avg_win_by_runs_last_n,team_avg_win_by_wickets_last_n,team_weighted_avg_win_amount
9331181,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,Hl Ph,12634,Hl Ph,field,Hr Ct Sm Ie,Indore,2022-10-20,day/night match,Sd Mq Ai Ty,2022/23,7398,1.6666666666666667,100.0,157.17857142857142,1,0.8994430693069307,1.6845951476176555,1.3685503685503686,1.4090909090909092,2.076923076923077,0.9658807458833223,0.6619385342789599,0.9259278394640323,1.0063565443513436,0.951219512195122,1.6896551724137931,1.0515222482435596
8797060,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,Ed,20,Wt Is,field,Kn Ol Bn Bs,Bridgetown,2022-01-23,day/night match,Ed tr of Wt Is,2021/22,1406,1.6666666666666667,50.0,103.5,0,1.778534459275402,0.7027729112547574,1.0981842636180228,1.3432835820895523,0.6585365853658537,0.8988485613433163,1.015998680521194,1.0443439648973236,1.0529763600113926,1.3565891472868217,1.5333333333333332,1.3899371069182391
9433269,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,We,10576,Ne,field,Tt Be Nm,Nottingham,2023-06-02,day/night match,Vy Bt,2023,251,1.0833333333333333,0.0,154.33333333333334,0,0.8369813041495668,1.474049300136257,0.9623015873015873,1.1132075471698113,0.6931818181818182,0.941388002663167,1.0781772016570894,1.0038271810371804,0.9360330152179519,0.7061224489795918,0.7037037037037036,0.7058125741399763
9587073,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,Ga An Ws,36084,Ga An Ws,bat,Bn La Sm Ta Td,Tarouba,2023-09-10,day match,Cn Pr Le,2023,14300,0.75,50.0,144.25,0,1.0,0.87980343980344,1.1123517096999302,0.8888888888888888,1.1652173913043478,1.0129509709846927,0.9736970251716247,0.9066047519687379,1.0452535760728219,1.303030303030303,0.6949152542372882,1.2145499383477187
9516457,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,Gt Ts,48341,Gt Ts,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,2023-04-13,night match,In Pr Le,2023,7118,1.25,0.0,189.0,1,0.8278513455788125,0.9566343471908619,0.991812865497076,0.8615384615384616,2.015873015873016,1.2112538600657932,0.8972898185073656,0.9726496427055266,1.0404183154324478,1.3897058823529411,0.8333333333333334,1.2837301587301588
9457412,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,Cm Cs,40424,Cm Cs,field,Se Ba Nl Sm Mr,Dhaka,2023-01-09,night match,Bh Pr Le,2022/23,14188,1.25,50.0,147.93333333333334,1,1.1082926829268291,2.3047838237711655,1.6357894736842105,2.1025641025641026,3.176470588235294,1.1910700772480742,1.0122759856630823,1.0110556054949678,0.9746719560573694,0.4225352112676056,2.333333333333333,0.6584362139917695
9292548,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,Ia,55,Ia,field,Rv Gi Il Sm Ul Hd,Hyderabad,2022-09-25,night match,Aa tr of Ia,2022,13880,0.4166666666666667,50.0,,1,1.2187164956348597,0.6684214484470182,0.6825327510917031,0.6360544217687075,0.816,0.9995800993258651,0.8449664463166124,0.9396935443433188,0.6991476172026346,0.20461538461538462,0.9887640449438201,0.2702067669172932
9271758,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,Ja Ks,47501,Ja Ks,bat,R Pa Sm Co,Colombo,2022-12-18,day match,La Pr Le,2022/23,7041,2.25,40.0,129.93333333333334,0,1.601231190150479,1.2147129186602867,1.3506944444444444,1.3452380952380953,2.022222222222222,0.9903167506970656,0.981685490877498,1.0352738940648238,1.087489779231398,1.4773869346733668,1.9473684210526319,1.5055118110236219
9331048,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,Hl Ph,12634,Sa,field,Hr Ct Sm Ie,Indore,2022-10-18,day/night match,Sd Mq Ai Ty,2022/23,7398,0.25,0.0,157.69230769230768,0,0.8685746831838246,2.487744079767345,0.5334261838440112,0.44329896907216493,0.25,0.7401800095112656,0.830188679245283,0.6728920493464023,0.8974560713349069,0.45267489711934156,1.1600000000000001,0.49807445442875475
9123162,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,Ia,55,Ia,field,Te Ve Me Dn,Dublin,2022-06-26,day match,Ia tr of Id,2022,6831,0.3125,0.0,148.5,1,0.7306773909764988,0.6976813672762042,0.6460032626427407,0.5714285714285714,0.5319148936170213,0.9140064172336051,0.8902864230424695,0.8340293049336578,0.8378317588843904,0.4789719626168224,0.59375,0.4893767705382436
9516415,Mi Is,30435,238727.0:5043310.0:7537004.0:3125562.0:8191868.0:8713270.0:6249256.0:4171859.0:8227974.0:230775.0:1907352.0:8118914.0,Ci Sr Ks,30414,2653993.0:7422673.0:1945425.0:5001170.0:232000.0:1642738.0:196580.0:2294823.0:3519011.0:2658445.0:5757884.0:3130840.0,Ci Sr Ks,30414,Ci Sr Ks,field,We Sm Mi,Mumbai,2023-04-08,night match,In Pr Le,2023,5004,0.9375,33.33,164.46666666666667,1,0.8369813041495668,1.03194671016857,0.6875,0.8538812785388128,0.8416666666666667,1.1024994691909349,1.2555838071768795,1.0249987297137815,0.8758424053913946,0.35123966942148765,0.9183673469387755,0.41868932038834955
9592470,Mi Is,30435,5043310.0:238727.0:7537004.0:3125562.0:8191868.0:6249256.0:8058924.0:2022957.0:8227974.0:230775.0:1907352.0:8442286.0,Lw Sr Gs,48334,2436405.0:6698110.0:3299407.0:2275097.0:8058903.0:4230127.0:3479860.0:2970652.0:8228100.0:5554142.0:7924048.0:7491385.0,Mi Is,30435,Mi Is,bat,MA Cm Sm Ck Ci,Chennai,2023-05-24,night match,In Pr Le,2023,2050,1.0,0.0,159.10714285714286,0,0.8771929824561403,0.28212235200950303,0.8453006421482778,1.015228426395939,0.905982905982906,1.1295472154675252,1.2927835315395246,1.0942023153226441,0.904676718630207,0.45818181818181825,2.3703703703703702,0.5756541524459614
9128510,Ka Kt Rs,30400,5959834.0:37351.0:4497646.0:1613919.0:4231702.0:1663885.0:1934099.0:3429236.0:8779896.0:2632825.0:7758638.0,Ss Hd,36014,7491294.0:1945355.0:3127354.0:4203499.0:4230127.0:2642751.0:3693654.0:4874820.0:2282125.0:5618038.0:8725709.0,Ss Hd,36014,Ss Hd,field,Be Sm Mi,Mumbai,2022-04-15,night match,In Pr Le,2022,2764,1.3076923076923077,100.0,183.625,1,1.778534459275402,1.4555820737204987,1.0790513833992095,1.1988636363636365,1.28125,1.0061520031480684,1.037329965722533,1.0444089126085265,1.1004709576138147,5.842105263157896,1.4680851063829787,3.1192052980132448
