,team_count_50runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,team_winp_last14,team_avg_bowling_last15,team_avg_balls_faced_last15,team_count_4runs_last15,team_count_6runs_last15,team_avg_strike_rate_last15,team_avg_runs_last15,team_runs_consistency_last15,team_rating,team_avg_win_by_runs_last_n,team_avg_win_by_wickets_last_n,team_weighted_avg_win_amount,toss_winner_01,toss_decision_01,boundary_percentage,strike_rate_consistency,avg_wicket_count,avg_economy,avg_maiden
0,1.666666667,100.0,157.1785714,0.899443069,1.684595148,1.368550369,1.409090909,2.076923077,0.965880746,0.661938534,0.925927839,1.006356544,0.951219512,1.689655172,1.051522248,1,0,1.039725031,0.890492523,1.641025641,0.918697512,0.952020202
1,1.666666667,50.0,103.5,1.778534459,0.702772911,1.098184264,1.343283582,0.658536585,0.898848561,1.015998681,1.044343965,1.05297636,1.356589147,1.533333333,1.389937107,1,0,0.968076323,0.84143835,0.822429907,0.973906116,0.966806316
2,1.083333333,0.0,154.3333333,0.836981304,1.4740493,0.962301587,1.113207547,0.693181818,0.941388003,1.078177202,1.003827181,0.936033015,0.706122449,0.703703704,0.705812574,1,0,0.98059958,0.668826702,1.115384615,0.950756377,1.052298468
3,0.75,50.0,144.25,1.0,0.87980344,1.11235171,0.888888889,1.165217391,1.012950971,0.973697025,0.906604752,1.045253576,1.303030303,0.694915254,1.214549938,0,1,0.995573334,0.989524313,0.818965517,0.97275894,0.995547556
4,1.25,0.0,189.0,0.827851346,0.956634347,0.991812865,0.861538462,2.015873016,1.21125386,0.897289819,0.972649643,1.040418315,1.389705882,0.833333333,1.283730159,1,0,0.992196411,1.34923052,1.1,1.015837571,1.044850498
5,1.25,50.0,147.9333333,1.108292683,2.304783824,1.635789474,2.102564103,3.176470588,1.191070077,1.012275986,1.011055605,0.974671956,0.422535211,2.333333333,0.658436214,1,0,1.05992523,1.264203854,2.075,0.855924991,1.044117647
6,0.416666667,50.0,0.0,1.218716496,0.668421448,0.682532751,0.636054422,0.816,0.999580099,0.844966446,0.939693544,0.699147617,0.204615385,0.988764045,0.270206767,1,0,0.9976384,1.214621089,0.936842105,1.048808411,0.96
7,2.25,40.0,129.9333333,1.60123119,1.214712919,1.350694444,1.345238095,2.022222222,0.990316751,0.981685491,1.035273894,1.087489779,1.477386935,1.947368421,1.505511811,0,1,1.000058755,0.0,1.023255814,0.8964531,0.97566252
8,0.25,0.0,157.6923077,0.868574683,2.48774408,0.533426184,0.443298969,0.25,0.74018001,0.830188679,0.672892049,0.897456071,0.452674897,1.16,0.498074454,1,0,0.94539634,0.88769852,1.25,0.899360458,1.148148148
9,0.3125,0.0,148.5,0.730677391,0.697681367,0.646003263,0.571428571,0.531914894,0.914006417,0.890286423,0.834029305,0.837831759,0.478971963,0.59375,0.489376771,1,0,0.970682392,0.848523007,0.654867257,0.947970142,0.952830189
