match id,dataset_type,win_pred_team_id,win_pred_score,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr
9250275,r1,90,0.6831245,0.1269841269841269,0.1428571428571428,0.0196078431372549,0.0,0.2857142857142857,1.0,0.7455578694000081,0.5,1.0,1,XGBoost,no,10,2,0.1
9262189,r1,36084,0.5039152,0.8912815126050421,0.937984496124031,0.3442622950819672,0.6153846153846154,0.8961038961038961,0.7272727272727273,1.0620955648800707,0.625,1.0909090909090908,1,XGBoost,no,10,2,0.1
9128776,r1,30428,0.5039152,1.0154867256637168,1.116504854368932,0.7530864197530864,0.8421052631578947,1.0163934426229508,1.0,0.9579928181967148,0.5454545454545454,0.7368421052631579,0,XGBoost,no,10,2,0.1
9586919,r1,36112,0.5652479,0.819941348973607,0.6120689655172413,1.4878048780487805,0.2857142857142857,0.9482758620689656,0.6666666666666666,0.8648146762809497,1.2857142857142858,1.2142857142857142,1,XGBoost,no,10,2,0.1
9128538,r1,30414,0.5491234,1.3069069069069068,1.9866666666666664,0.3103295404167282,2.375,1.1896551724137931,0.7272727272727273,1.061083011871304,1.1666666666666667,1.4545454545454546,1,XGBoost,no,10,2,0.1
9516653,r1,30407,0.508546,1.321527777777778,0.956896551724138,0.6721311475409836,0.4,1.2884615384615383,3.75,0.8674419833466317,2.6666666666666665,1.4285714285714286,1,XGBoost,no,10,2,0.1
9516534,r1,36014,0.5088211,0.8855233853006681,0.8235294117647058,0.3442622950819672,0.6818181818181818,1.106666666666667,1.0,1.0270921105398785,0.8,0.8421052631578947,1,XGBoost,no,10,2,0.1
9085474,r1,9701,0.560717,1.335408560311284,1.7164179104477613,0.6039603960396039,3.2,1.54,1.5,0.9307827731395116,1.6,0.8947368421052632,1,XGBoost,no,10,2,0.1
9433752,r1,7727,0.5815641,1.516025641025641,1.540983606557377,2.9047619047619047,2.4285714285714284,1.56,2.0,0.9789765121745524,6.0,1.9166666666666667,1,XGBoost,no,10,2,0.1
9516359,r1,30428,0.5692506,1.2863021751910642,1.4285714285714286,21.0,1.7272727272727273,0.8666666666666667,1.5,1.1735649811452071,0.7142857142857143,1.0588235294117647,1,XGBoost,no,10,2,0.1
9262133,r1,36098,0.5479022,1.141737426518615,1.358695652173913,1.4878048780487805,1.7142857142857142,1.0303030303030305,3.333333333333333,1.0340413272737323,0.4615384615384615,1.6666666666666667,1,XGBoost,no,10,2,0.1
9782086,r1,202,0.5740566,1.9262086513994912,2.076923076923077,1.9523809523809523,1.5,1.0909090909090908,3.5,1.365605069910005,1.0,1.1666666666666667,0,XGBoost,no,10,2,0.1
9271807,r1,47487,0.5205462,1.0253082414016872,0.9746835443037974,0.5061728395061729,0.6,1.3529411764705883,3.0,0.9572438512330664,1.5,0.625,1,XGBoost,no,10,2,0.1
9644102,r1,48,0.560717,4.091778202676864,4.904761904761905,1.4878048780487805,3.4,6.076923076923077,2.0,0.9264113157741232,1.6666666666666667,3.8,1,XGBoost,no,10,2,0.1
9256386,r1,62,0.5374563,0.6720405343159834,0.7160493827160493,0.024390243902439,0.4444444444444444,0.7375,1.0,0.9808627543912344,1.0,1.0625,0,XGBoost,no,10,2,0.1
9272773,r1,33921,0.51564586,1.0249406175771971,0.8833333333333333,2.9047619047619047,0.9090909090909092,0.7792207792207793,1.6666666666666667,1.065581737454508,0.4285714285714285,0.95,1,XGBoost,no,10,2,0.1
9433850,r1,10576,0.5088211,1.0276442307692308,1.0987654320987654,1.0,0.6666666666666666,1.346938775510204,0.7142857142857143,1.002614779440364,2.0,0.8095238095238095,0,XGBoost,no,10,2,0.1
