bowler_id,runs,wicket_count,balls_bowled,economy,maiden,dots,Fours,Sixes,wides,noballs
34061.0,983,29,665,9.371428571428572,0,207.0,80,33,38,1
37351.0,10,0,6,10.0,0,0.0,1,0,0,0
41740.0,92,5,96,6.818181818181818,0,41.0,5,3,1,0
49496.0,632,31,582,6.509615384615385,0,203.0,37,16,10,0
55299.0,1249,57,873,8.623720930232558,2,292.0,113,41,29,2
62432.0,1464,62,1151,8.255316455696201,3,401.0,98,65,17,2
63307.0,251,8,222,6.832727272727272,0,61.0,15,5,0,1
65183.0,280,16,189,9.09,0,60.0,25,11,5,0
74087.0,824,32,647,7.8975,0,171.0,60,20,8,2
74367.0,477,19,329,8.613125,0,121.0,39,21,11,3
82081.0,25,0,18,7.75,0,4.0,2,1,0,0
82228.0,123,4,108,6.537000000000001,0,29.0,9,2,1,0
87191.0,403,12,304,8.547692307692309,0,117.0,33,18,4,0
87240.0,120,5,81,10.59,0,28.0,14,2,1,1
119951.0,49,0,36,8.165,0,17.0,8,1,0,0
125803.0,90,2,60,9.111666666666666,0,9.0,4,4,1,0
125915.0,531,24,409,8.566296296296295,0,113.0,28,23,5,0
130437.0,1511,74,1229,7.6030303030303035,1,458.0,106,61,26,0
134861.0,42,0,15,16.8,0,2.0,2,3,0,2
142582.0,288,11,192,9.4375,0,40.0,17,13,1,0
151052.0,43,0,12,21.5,0,1.0,1,5,0,1
164604.0,740,29,529,8.91074074074074,1,138.0,35,35,19,0
172248.0,9,0,6,9.0,0,0.0,1,0,0,0
173277.0,33,1,24,7.835,0,9.0,1,2,3,0
175405.0,27,0,12,13.5,0,2.0,4,0,0,1
178443.0,51,1,30,10.625,0,4.0,3,2,2,0
181404.0,1376,44,1111,8.010625,0,358.0,97,42,9,1
181852.0,16,0,12,8.0,0,2.0,0,1,0,0
182986.0,194,7,228,5.628461538461538,3,134.0,21,4,2,0
184960.0,1268,40,1048,7.442765957446809,1,364.0,73,50,40,1
185100.0,50,0,18,16.666666666666668,0,0.0,5,3,0,0
185422.0,76,1,72,6.333333333333333,0,33.0,8,2,0,0
190574.0,101,5,84,6.895,1,45.0,10,5,1,0
204861.0,63,0,42,8.666666666666666,0,19.0,7,3,2,1
210328.0,18,0,6,18.0,0,1.0,0,2,0,0
212029.0,478,22,411,7.337894736842105,1,147.0,20,23,6,0
217762.0,131,8,102,7.833333333333333,0,26.0,5,6,0,0
223117.0,178,5,155,7.0,0,55.0,14,5,3,0
230775.0,748,29,618,7.407407407407407,3,237.0,50,35,4,1
230824.0,109,2,72,9.083333333333334,0,31.0,12,5,3,0
233358.0,23,0,24,5.75,0,5.0,0,0,0,0
236480.0,43,1,29,6.8,0,12.0,3,3,1,0
